@relation occ_all

@attribute DayOfWeek numeric
@attribute HourOfDay numeric
@attribute RealPow_Mean numeric
@attribute RealPow_LastMean numeric
@attribute RealPow_Std numeric
@attribute RealPow_Median numeric
@attribute RealPow_Max numeric
@attribute RealPow_Min numeric
@attribute RealPow_MeanDeriv numeric
@attribute RealPow_StdDeriv numeric
@attribute RealPow_MaxDeriv numeric
@attribute RealPow_Kurt numeric
@attribute RealPow_Iqr numeric
@attribute RealPow_Mcr numeric
@attribute RealPow_FreqPeak numeric
@attribute RealPow_FreqEntropy numeric
@attribute RealPow_FreqEnergy numeric
@attribute RealPow_FreqLastEnergy numeric
@attribute ReactPow_Mean numeric
@attribute ReactPow_LastMean numeric
@attribute ReactPow_Std numeric
@attribute ReactPow_Median numeric
@attribute ReactPow_Max numeric
@attribute ReactPow_Min numeric
@attribute ReactPow_MeanDeriv numeric
@attribute ReactPow_StdDeriv numeric
@attribute ReactPow_MaxDeriv numeric
@attribute ReactPow_Kurt numeric
@attribute ReactPow_Iqr numeric
@attribute ReactPow_Mcr numeric
@attribute ReactPow_FreqPeak numeric
@attribute ReactPow_FreqEntropy numeric
@attribute ReactPow_FreqEnergy numeric
@attribute ReactPow_FreqLastEnergy numeric
@attribute Power_Cluster1 numeric
@attribute Power_Cluster2 numeric
@attribute Power_Cluster4 numeric
@attribute Power_Cluster5 numeric
@attribute Power_Cluster6 numeric
@attribute Power_Cluster7 numeric
@attribute Power_Cluster8 numeric
@attribute Power_Cluster9 numeric
@attribute Power_Cluster10 numeric
@attribute Power_Cluster13 numeric
@attribute Power_Cluster14 numeric
@attribute Power_Cluster15 numeric
@attribute Power_Cluster16 numeric
@attribute Power_Cluster17 numeric
@attribute Power_Cluster18 numeric
@attribute Power_Cluster19 numeric
@attribute Water_Mean numeric
@attribute Water_LastMean numeric
@attribute Water_Std numeric
@attribute Water_Median numeric
@attribute Water_Max numeric
@attribute Water_Min numeric
@attribute Water_MeanDeriv numeric
@attribute Water_StdDeriv numeric
@attribute Water_MaxDeriv numeric
@attribute Water_Kurt numeric
@attribute Water_Iqr numeric
@attribute Water_Mcr numeric
@attribute Water_FreqPeak numeric
@attribute Water_FreqEntropy numeric
@attribute Water_FreqEnergy numeric
@attribute Water_FreqLastEnergy numeric
@attribute Water_Cluster1 numeric
@attribute Water_Cluster2 numeric
@attribute Water_Cluster3 numeric
@attribute Water_Cluster4 numeric
@attribute Water_Cluster6 numeric
@attribute Water_Cluster7 numeric
@attribute Water_Cluster8 numeric
@attribute Water_Cluster9 numeric
@attribute label_num {0,1,2,3}

@data
2,0,1691.036101,1840.403571,27.729258,1692,2029,1660,3.050725,14.213859,170,90.140704,19.25,0.061594,0.001946,0.364407,792322277.000001,984606943.000001,850.983682,815.4565,13.758234,846.52,882.6,711.1,1.447138,6.846011,91.86,40.552804,20.22,0.025362,0.001946,0.364407,200648227.7952,187394542.2158,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,3.228848,163.681689,7.840207,2.48679,37.5208,-17.12001,6.637212,5.002007,30.57949,7.100109,8.042016,0.491639,0.001946,2.901997,21506.821846,2319646603.945964,0,300,0,0,0,0,0,0,3
2,0,1877.580292,1691.036101,343.982689,1698,3053,1676,13.164835,118.012393,1370,8.997644,331,0.010989,0.001946,0.466999,998236801,792322277.000001,800.928029,850.983682,54.616016,829.72,874.47,675.08,1.85304,9.125221,119.17,1.969603,111.13,0.003663,0.001946,0.382273,176581418.2064,200648227.7952,0,1,0,0,0,0,0,0,0,0,273,0,0,0,0,0,7.791782,3.228848,16.103118,3.26292,58.93245,-15.38785,6.613124,5.406706,39.751421,4.971602,9.698811,0.210884,0.001946,1.660684,94147.25788,21506.821846,0,295,0,0,0,0,0,0,3
2,1,1671.838129,1877.580292,139.641259,1609,1982,1553,4.527076,18.703546,262,3.546548,96,0.01444,0.001946,0.38337,782423290.999999,998236801,835.88018,800.928029,44.156643,854.81,887.71,733.87,1.966137,9.387769,130.87,3.770663,18.09,0.01444,0.001946,0.327782,194777494.8011,176581418.2064,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,859.084699,7.791782,14756.469244,2.664703,254311.2,-10.38023,1723.704369,20867.989843,254307.222563,295.003315,6.492785,0.006757,0.001946,2.972105,64674195699.937816,94147.25788,0,296,0,0,0,1,0,0,3
2,1,1367.280576,1671.838129,190.816771,1269,1975,1248,4.67148,25.570385,325,7.442139,125,0.00361,0.001946,0.455572,529794674,782423290.999999,814.906547,835.88018,27.999357,822.5,859.23,707.2,1.765523,8.752762,121.52,8.962886,6.96,0.018051,0.001946,0.361848,184829363.0536,194777494.8011,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,1.377292,859.084699,5.32626,1.571095,13.48441,-14.75794,5.872775,4.065408,20.565609,2.520512,7.796544,0.474916,0.001946,3.204123,9051.422934,64674195699.937816,0,300,0,0,0,0,0,0,3
2,1,1357.748201,1367.280576,150.069014,1269,1609,1245,5.234657,28.264393,331,1.85269,325,0.00722,0.001946,0.376048,518725726.000001,529794674,778.236655,814.906547,58.636988,813.21,845.38,610.7,2.850794,13.32333,129.46,1.97131,127.1,0.00722,0.001946,0.370695,169323744.8993,184829363.0536,0,1,0,0,0,0,0,0,0,0,277,0,0,0,0,0,394.164498,1.377292,6779.824498,0.835286,116842.1,-16.58672,795.347375,9586.644807,116835.417978,295.002985,7.736894,0.006757,0.003891,3.550761,13652085583.198398,9051.422934,0,297,0,0,0,0,0,0,3
2,1,1257.047059,1357.748201,5.563285,1258,1269,1248,1.452381,3.554752,15,2.634857,8,0.107143,0.007692,1.094792,134316821,518725726.000001,813.284471,778.236655,2.131468,813.06,824.62,810.56,0.545476,1.873821,12.29,11.421831,1.54,0.107143,0.007692,1.094792,56222070.1836,169323744.8993,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0.351096,394.164498,4.785578,0.397778,9.984363,-14.31933,5.278006,3.930043,19.25186,3.094425,6.832047,0.552083,0.030769,3.997803,2210.526013,13652085583.198398,0,97,0,0,0,0,0,0,3
2,1,1172.686391,1257.047059,9.678271,1171,1198,1151,2.64881,5.942982,36,2.965423,15,0.113095,0.003876,0.697325,232423416,134316821,811.253018,813.284471,6.82865,811.75,844.76,780.83,1.792857,6.697684,51.89,11.148816,2.26,0.10119,0.003876,0.657097,111232050.4554,56222070.1836,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0.212491,0.351096,6.021385,-0.437575,20.64675,-15.19573,6.307882,4.833347,25.93672,3.151677,8.154943,0.45122,0.011628,3.863453,5953.611039,2210.526013,0,165,0,0,0,0,0,0,3
2,1,1257.614286,1172.686391,143.489841,1175,1509,1156,5.164875,28.299936,334,2.180272,321,0.007168,0.001946,0.361848,448590657.999999,232423416,772.283536,811.253018,60.454912,806.01,839.98,665.92,1.944946,12.042768,139.89,2.182724,135.29,0.014337,0.001946,0.442733,168017808.8563,111232050.4554,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,1.313523,0.212491,5.389063,1.352575,17.82283,-15.51365,6.466379,4.720467,21.760635,3.083669,7.240173,0.540541,0.001946,3.692903,9108.857434,5953.611039,0,297,0,0,0,0,0,0,3
2,1,1521.271429,1257.614286,74.482092,1536,1559,1182,3.301075,16.629123,246,17.651916,11,0.003584,0.001946,0.341881,649542468,448590657.999999,816.803214,772.283536,4.517895,816.7,843.95,806.38,0.865448,3.390841,35.33,18.289915,3.5,0.0681,0.001946,0.340457,186812592.2164,168017808.8563,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,-1806.515218,1.313523,30826.816319,0.477384,15.2369,-525865.5,3632.652626,43594.202223,525861.84021,289.00343,7.190576,0.006897,0.071984,3.842966,276534532962.120128,9108.857434,1,290,0,0,0,0,0,0,3
2,1,1635.647273,1521.271429,147.235706,1544,1891,1520,5.29562,24.33414,317,1.917684,324,0.007299,0.001946,0.385222,741658919.000001,649542468,775.090545,816.803214,62.682045,809.31,824,670.02,1.605292,10.704039,137.93,1.934972,142.61,0.007299,0.001946,0.382273,166287028.8692,186812592.2164,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0.321133,-1806.515218,5.524306,0,19.69284,-13.96242,6.385506,4.892482,29.35913,3.14019,6.92189,0.508418,0.116732,4.027776,9094.566416,276534532962.120128,0,298,0,0,0,0,0,0,3
