@relation occ_all

@attribute DayOfWeek numeric
@attribute HourOfDay numeric
@attribute RealPow_Mean numeric
@attribute RealPow_LastMean numeric
@attribute RealPow_Std numeric
@attribute RealPow_Median numeric
@attribute RealPow_Max numeric
@attribute RealPow_Min numeric
@attribute RealPow_MeanDeriv numeric
@attribute RealPow_StdDeriv numeric
@attribute RealPow_MaxDeriv numeric
@attribute RealPow_Kurt numeric
@attribute RealPow_Iqr numeric
@attribute RealPow_Mcr numeric
@attribute RealPow_FreqPeak numeric
@attribute RealPow_FreqEntropy numeric
@attribute RealPow_FreqEnergy numeric
@attribute RealPow_FreqLastEnergy numeric
@attribute ReactPow_Mean numeric
@attribute ReactPow_LastMean numeric
@attribute ReactPow_Std numeric
@attribute ReactPow_Median numeric
@attribute ReactPow_Max numeric
@attribute ReactPow_Min numeric
@attribute ReactPow_MeanDeriv numeric
@attribute ReactPow_StdDeriv numeric
@attribute ReactPow_MaxDeriv numeric
@attribute ReactPow_Kurt numeric
@attribute ReactPow_Iqr numeric
@attribute ReactPow_Mcr numeric
@attribute ReactPow_FreqPeak numeric
@attribute ReactPow_FreqEntropy numeric
@attribute ReactPow_FreqEnergy numeric
@attribute ReactPow_FreqLastEnergy numeric
@attribute Power_Cluster1 numeric
@attribute Power_Cluster2 numeric
@attribute Power_Cluster4 numeric
@attribute Power_Cluster5 numeric
@attribute Power_Cluster6 numeric
@attribute Power_Cluster7 numeric
@attribute Power_Cluster8 numeric
@attribute Power_Cluster9 numeric
@attribute Power_Cluster10 numeric
@attribute Power_Cluster12 numeric
@attribute Power_Cluster13 numeric
@attribute Power_Cluster14 numeric
@attribute Power_Cluster15 numeric
@attribute Power_Cluster16 numeric
@attribute Power_Cluster17 numeric
@attribute Power_Cluster18 numeric
@attribute Power_Cluster19 numeric
@attribute Water_Mean numeric
@attribute Water_LastMean numeric
@attribute Water_Std numeric
@attribute Water_Median numeric
@attribute Water_Max numeric
@attribute Water_Min numeric
@attribute Water_MeanDeriv numeric
@attribute Water_StdDeriv numeric
@attribute Water_MaxDeriv numeric
@attribute Water_Kurt numeric
@attribute Water_Iqr numeric
@attribute Water_Mcr numeric
@attribute Water_FreqPeak numeric
@attribute Water_FreqEntropy numeric
@attribute Water_FreqEnergy numeric
@attribute Water_FreqLastEnergy numeric
@attribute Water_Cluster1 numeric
@attribute Water_Cluster2 numeric
@attribute Water_Cluster3 numeric
@attribute Water_Cluster4 numeric
@attribute Water_Cluster6 numeric
@attribute Water_Cluster7 numeric
@attribute Water_Cluster8 numeric
@attribute Water_Cluster9 numeric
@attribute label_num {0,1,2,3}

@data
2,0,1629.491228,1622.472727,2.284441,1630,1642,1625,0.392857,2.112117,15,17.607582,0,0.035714,0.015152,3.061982,151349067,144784864,896.607719,894.297455,1.309306,895.94,899.31,895.94,0.065536,0.38712,2.85,3.131031,0,0.017857,0.015152,3.049869,45822703.9312,43987420.7364,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,2.121852,3.051219,6.08845,2.814904,15.06547,-12.60779,6.845588,4.253094,18.910944,2.783332,8.167286,0.457627,0.454545,3.824674,2457.220011,2289.680131,0,60,0,0,0,0,0,0,3
2,0,1631.607143,1629.491228,0.801784,1632,1632,1630,0.036364,0.26968,2,3.335354,0,0.018182,0.015152,2.90331,149079980,151349067,896.349821,896.607719,0.204455,896.45,896.45,895.94,0.009273,0.068768,0.51,3.335354,0,0.018182,0.015152,2.90331,44992810.4321,45822703.9312,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,2.915825,2.121852,5.041746,2.636909,16.2578,-6.819967,5.701841,4.114416,22.68113,2.788194,7.137441,0.542373,0.393939,3.991703,2009.854998,2457.220011,0,60,0,0,0,0,0,0,3
2,0,1632,1631.607143,0,1632,1632,1632,0,0,0,0,0,0,0.015152,2.735607,146488320,149079980,896.45,896.349821,0,896.45,896.45,896.45,0,0,0,1,0,0,0.015152,2.735607,44199243.1375,44992810.4321,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2.824766,2.915825,5.183499,2.835239,20.06485,-7.414931,6.677436,4.905558,22.840607,3.764189,7.455073,0.677966,0.378788,3.581726,2064.009289,2009.854998,0,60,0,0,0,0,0,0,3
2,0,1637.631579,1632,15.198251,1632,1679,1632,0.910714,6.293653,47,6.33417,0,0.017857,0.015152,3.063291,152877655,146488320,896.589298,896.45,0.408149,896.45,897.87,896.45,0.043214,0.230092,1.42,8.830707,0,0.017857,0.015152,3.061982,45820734.4033,44199243.1375,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,-3009.768667,2.824766,22944.792779,2.240634,15.58707,-174739.3,6138.100554,32438.40861,174749.8091,56.017537,8.645567,0.035088,0.242424,3.519227,30533825423.480104,2064.009289,0,57,0,0,1,0,0,0,3
2,0,1685.909091,1637.631579,7.381841,1691,1691,1675,0.296296,1.919411,14,1.577441,15.5,0.018519,0.015152,2.735607,156328863,152877655,898.325273,896.589298,0.879292,898.75,899.49,896.87,0.062222,0.368652,2.62,2.251552,1.41,0.018519,0.015152,2.735607,44384398.0095,45820734.4033,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2.869588,-3009.768667,5.006765,2.637481,13.60452,-6.544302,5.888189,3.465614,14.437052,2.197278,8.110702,0.525424,0.272727,3.605318,1973.065873,30533825423.480104,0,60,0,0,0,0,0,0,3
2,0,1691,1685.909091,0,1691,1691,1691,0,0,0,0,0,0,0.015152,2.90331,160130936,156328863,898.75,898.325273,0,898.75,898.75,898.75,0,0,0,0,0,0,0.015152,2.90331,45234087.5,44384398.0095,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.094644,2.869588,5.354098,0.416484,12.49583,-13.68351,6.768695,4.863546,19.157388,3.172329,6.544895,0.661017,0.257576,3.765296,1691.852763,1973.065873,0,60,0,0,0,0,0,0,3
2,0,1646.37931,1691,14.459657,1641,1691,1634,1.473684,7.921727,57,8.147682,0,0.052632,0.015152,3.210573,157224678,160130936,895.355862,898.75,1.394936,894.58,898.75,894.58,0.152105,0.671128,3.87,3.618291,0.3,0.052632,0.015152,3.210573,46496513.8582,45234087.5,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,2.156439,0.094644,5.691485,2.062851,19.16174,-10.55159,6.946454,5.188621,29.71333,3.299725,7.765456,0.603448,0.348485,3.702798,2153.157771,1691.852763,0,59,0,0,0,0,0,0,3
2,0,1641,1646.37931,0,1641,1641,1641,0,0,0,0,0,0,0.015152,2.735607,148108455,157224678,894.58,895.355862,0,894.58,894.58,894.58,0,0,0,1,0,0,0.015152,2.735607,44015035.702,46496513.8582,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2.763312,2.156439,4.970608,2.836699,12.4967,-9.481809,5.487045,4.249706,15.075988,3.053196,5.832182,0.525424,0.212121,3.714997,1915.863488,2153.157771,0,60,0,0,0,0,0,0,3
2,0,1848.207547,1641,156.379268,1964,1964,1641,6.211538,44.792041,323,1.348297,323,0.019231,0.015152,2.324449,182312803,148108455,806.609811,894.58,66.390987,757.45,894.58,757.45,2.637115,19.016509,137.13,1.348297,137.13,0.019231,0.030303,2.546168,34712031.2366,44015035.702,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,2.547278,2.763312,5.396841,2.420179,14.40236,-12.06113,6.760481,4.206019,15.632023,2.85776,7.637931,0.59322,0.212121,3.515301,2107.745169,1915.863488,0,60,0,0,0,0,0,0,3
2,0,1643.017857,1848.207547,43.876061,1639,1964,1630,6.254545,43.812402,325,53.026418,5.5,0.018182,0.015152,3.010375,151278311,182312803,893.74875,806.609811,18.545918,896.16,896.42,757.45,2.534727,18.702038,138.71,54.005694,0.48,0.018182,0.015152,2.870641,44750979.6833,34712031.2366,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,3.306655,2.547278,5.362259,2.896517,15.63385,-7.618363,5.491249,4.440503,23.092983,2.599356,6.745643,0.40678,0.045455,3.287083,2352.513671,2107.745169,0,60,0,0,0,0,0,0,3
